,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
z_subj.21,z_subj,False,False,True,z_subj.21,(),['subj_idx'],False,21,,,,,0.374393083902042,0.02567036966264364,0.3264819555023678,0.35670790168365923,0.3737515070573088,0.39128537513265277,0.4266936853918303,0.0008879272062003358,0.3341760494884693
z_subj.22,z_subj,False,False,True,z_subj.22,(),['subj_idx'],False,22,,,,,0.20711007069648604,0.019118656530374076,0.17374846513412623,0.1937822399468635,0.20584907051465198,0.21925414418811986,0.24833389469459324,0.0007741042493211167,0.2763733158241063
z_subj.23,z_subj,False,False,True,z_subj.23,(),['subj_idx'],False,23,,,,,0.4093359820803529,0.02680718170894271,0.3599330309852056,0.39052921919899986,0.40859675279093727,0.42661118484348154,0.46378162752882296,0.0007862153508098902,0.3465621783667086
z_subj.24,z_subj,False,False,True,z_subj.24,(),['subj_idx'],False,24,,,,,0.19242875521685665,0.045190169188463705,0.11799917841221406,0.16021932571730668,0.18850764443211387,0.2188206880506392,0.29534527909763214,0.0017315896640466757,0.4255777297683867
z_subj.25,z_subj,False,False,True,z_subj.25,(),['subj_idx'],False,25,,,,,0.42217448006940544,0.025508823072835328,0.37279996053215253,0.4047391359263464,0.4217310157816812,0.43882190292323,0.4739138132544609,0.000659334220228058,0.35878524689424796
z_subj.26,z_subj,False,False,True,z_subj.26,(),['subj_idx'],False,26,,,,,0.5671777666196584,0.02189020355384061,0.5241610087280588,0.5525120965578121,0.5672868287905686,0.5820238996275815,0.6100819436449777,0.0005404861503282119,0.473777344474389
z_subj.27,z_subj,False,False,True,z_subj.27,(),['subj_idx'],False,27,,,,,0.5259113297296898,0.02170361356929419,0.482929082087828,0.5112931052471514,0.5257302781810476,0.5406882236513304,0.5685413126480008,0.00045433171745932035,0.448482791936801
z_subj.28,z_subj,False,False,True,z_subj.28,(),['subj_idx'],False,28,,,,,0.5812202963878851,0.02245901194625141,0.5370943782920433,0.5661751404288968,0.5813686519971593,0.5970940090201524,0.6242409846073667,0.0005244634970329277,0.47487667442920356
z_subj.29,z_subj,False,False,True,z_subj.29,(),['subj_idx'],False,29,,,,,0.20431868044266338,0.02178177618238315,0.16517168443235009,0.189196820488434,0.20318477439809127,0.21809948936037216,0.25077816902953,0.0008037999332560998,0.314019205963221
z_subj.30,z_subj,False,False,True,z_subj.30,(),['subj_idx'],False,30,,,,,0.32877097804062294,0.026286874358863746,0.28129381396489944,0.3106445193399666,0.3277617082315793,0.3459620410218825,0.3816807782099279,0.0009552921402897098,0.3370577816007866
z_subj.31,z_subj,False,False,True,z_subj.31,(),['subj_idx'],False,31,,,,,0.3589115552063021,0.02401785223873413,0.3136867908580476,0.3426397588812411,0.3583410067513406,0.374714878991133,0.4080910812295232,0.0007236038711169876,0.32973415569071646
z_subj.32,z_subj,False,False,True,z_subj.32,(),['subj_idx'],False,32,,,,,0.25739234305624936,0.022949588020909663,0.21609315760471162,0.2413099887317718,0.2562492078366419,0.2724034238465064,0.30412648780067847,0.0008595896131497275,0.29433315861159004
z_subj.33,z_subj,False,False,True,z_subj.33,(),['subj_idx'],False,33,,,,,0.2862553611024063,0.024893745138221155,0.2418722768096479,0.2686414738692384,0.2846561456777543,0.30250968322004307,0.3394571131694326,0.0008997098400673904,0.33154923045976203
z_subj.34,z_subj,False,False,True,z_subj.34,(),['subj_idx'],False,34,,,,,0.3518486051641435,0.023368222714872978,0.30781695615272464,0.335645392191311,0.35135062028596414,0.36751281795500756,0.39939301096448326,0.0006559837484355961,0.3499594488600611
z_subj.35,z_subj,False,False,True,z_subj.35,(),['subj_idx'],False,35,,,,,0.5556609257846107,0.024488666934282647,0.5046143691865138,0.5396039704774649,0.5560595438993805,0.5718005332367937,0.6040343598926321,0.0005857056113386283,0.4249600494695198
z_subj.36,z_subj,False,False,True,z_subj.36,(),['subj_idx'],False,36,,,,,0.3291932520090992,0.03109824634718053,0.2731619238661542,0.3073522654589128,0.32766016946397303,0.3491299609407605,0.39471173307502977,0.0013276546546183256,0.31569223984585343
z_subj.37,z_subj,False,False,True,z_subj.37,(),['subj_idx'],False,37,,,,,0.49639902382096934,0.02372847491973238,0.4490540316340939,0.4806651397899728,0.4961130707803748,0.5124888227641081,0.5417608206155972,0.0005724241354211586,0.43737934524024025
z_subj.38,z_subj,False,False,True,z_subj.38,(),['subj_idx'],False,38,,,,,0.3473887104418195,0.026841589401880063,0.29658933436595797,0.3289938177660401,0.34627129895368713,0.3643655000928025,0.4036471996561319,0.0009453929262384184,0.33348395400745734
z_subj.39,z_subj,False,False,True,z_subj.39,(),['subj_idx'],False,39,,,,,0.48843064708842904,0.02397169493499138,0.44190498177886584,0.47193366151124694,0.488046013996755,0.5052740136929601,0.5364228117872085,0.0005194219028532424,0.4075298293374353
