,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,trial,rt,response,gain,loss,sure,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
z_subj.11,z_subj,False,False,True,z_subj.11,(),['subj_idx'],False,11,,,,,,,0.4025804862359079,0.025814950072121444,0.3521149669698397,0.3845127031928016,0.4024017387392969,0.42071508519438106,0.45299397230889477,0.0007570191038529252,0.48087902092438745
z_subj.12,z_subj,False,False,True,z_subj.12,(),['subj_idx'],False,12,,,,,,,0.39042273195330734,0.023543782743363547,0.3459728244035358,0.37476387178116755,0.39014213018649807,0.40577563353594964,0.43764292283382167,0.0006078149512141861,0.45310266817356604
z_subj.13,z_subj,False,False,True,z_subj.13,(),['subj_idx'],False,13,,,,,,,0.3884806319284301,0.023036003649858614,0.3462294312854203,0.372159348637763,0.3880943560180961,0.4039356343790198,0.4363237772743393,0.0006026377857069012,0.45822254986386995
z_subj.14,z_subj,False,False,True,z_subj.14,(),['subj_idx'],False,14,,,,,,,0.4108521296274396,0.020353421490089143,0.37150135306109955,0.3969133152530758,0.4109386915122818,0.42436956576162543,0.4503902518190283,0.000521324044171884,0.4464815603484211
z_subj.15,z_subj,False,False,True,z_subj.15,(),['subj_idx'],False,15,,,,,,,0.4503636513013413,0.02061437923941918,0.4103414335286883,0.4361408176264771,0.4503620412307161,0.464377887315918,0.491511102536637,0.0004141109592105061,0.4701291941192612
z_subj.16,z_subj,False,False,True,z_subj.16,(),['subj_idx'],False,16,,,,,,,0.20715130497146697,0.018872745124657104,0.17088865921076468,0.1941312216153223,0.20645249967822946,0.21953949925333804,0.24562109256769352,0.0008133845204192488,0.39510868239613395
z_subj.17,z_subj,False,False,True,z_subj.17,(),['subj_idx'],False,17,,,,,,,0.2567501988344986,0.01967224674775973,0.22094720163498646,0.24277682009535534,0.2559129840507742,0.26986349328464787,0.29658232944439533,0.000706124866413568,0.4061857748069108
z_subj.18,z_subj,False,False,True,z_subj.18,(),['subj_idx'],False,18,,,,,,,0.25971727110682735,0.023806373065305392,0.21462142150691607,0.24370524589425607,0.2592530387286592,0.2751652899059393,0.3099763488869168,0.0009375317736756275,0.42271220053281316
z_subj.19,z_subj,False,False,True,z_subj.19,(),['subj_idx'],False,19,,,,,,,0.411618354975847,0.02128420247385452,0.37166027271301005,0.396824447317855,0.4114755342327292,0.42649485476793864,0.45400653253259826,0.0005130730827535856,0.45814518443939034
z_subj.20,z_subj,False,False,True,z_subj.20,(),['subj_idx'],False,20,,,,,,,0.5291710677604763,0.021186263090997734,0.48717201491575585,0.5154118839845373,0.5292128548819557,0.5430143404203214,0.570113676612202,0.00042810352968815645,0.5201705364206932
