subj_idx,response,rt,gain,loss
4,1,1.120713,30,-20
4,1,1.183277,40,-40
4,0,1.683655,40,-50
4,1,1.267358,40,-10
4,0,1.076221,20,-30
4,0,1.084684,60,-70
4,0,1.108769,70,-90
4,1,1.092203,40,-30
4,1,1.036254,40,-20
4,0,1.047617,40,-80
4,1,1.194751,70,-70
4,0,1.078926,20,-60
4,0,1.14342,10,-90
4,1,0.901517,90,-30
4,0,1.332896,80,-100
4,0,1.754855,90,-100
4,1,0.866091,80,-50
4,0,0.914676,40,-60
4,0,2.522099,10,-40
4,0,1.096886,50,-100
4,0,1.120801,30,-40
4,0,1.071332,20,-90
4,0,1.128699,20,-100
4,0,1.303575,20,-50
4,0,1.734759,40,-60
4,1,3.708711,40,-10
4,0,1.308077,70,-100
4,1,1.356082,30,-30
4,1,1.097493,80,-80
4,1,1.098024,40,-40
4,0,1.434177,80,-100
4,0,2.660118,10,-80
4,1,1.205426,100,-30
4,0,1.360568,30,-80
4,0,3.061962,10,-20
4,1,1.111436,50,-20
4,1,1.094503,70,-40
4,1,1.198574,80,-40
4,0,1.106561,10,-20
4,1,1.194063,70,-20
4,0,1.54201,50,-80
4,1,1.932131,30,-20
4,0,1.986507,40,-80
4,0,2.238731,60,-80
4,1,1.032739,60,-30
4,1,1.459484,80,-20
4,1,1.26128,100,-90
4,1,1.103316,100,-70
4,0,1.360067,30,-90
4,0,1.918695,50,-90
4,0,1.462045,90,-100
4,0,2.07271,30,-100
4,1,1.673907,90,-70
4,1,1.164053,40,-20
4,0,1.874667,20,-90
4,0,1.923993,10,-100
4,1,1.338428,70,-20
4,0,1.337084,50,-70
4,0,1.071983,20,-40
4,0,1.352741,40,-90
4,0,1.013777,30,-90
4,1,1.266046,70,-60
4,0,1.371766,70,-80
4,0,1.136398,10,-50
4,0,0.703292,10,-30
4,0,0.894419,60,-100
4,1,1.684403,90,-90
4,0,1.596554,10,-70
4,0,0.977071,10,-60
4,0,0.98976,80,-90
4,0,1.22571,40,-50
4,1,0.996553,80,-60
4,1,1.424597,90,-40
4,1,0.810613,100,-80
4,1,0.933782,90,-40
4,0,1.099872,30,-80
4,0,1.21098,30,-70
4,1,1.111102,80,-80
4,0,1.206971,60,-80
4,1,1.249956,100,-20
4,1,1.339253,90,-60
4,0,0.833769,10,-70
4,1,1.236434,70,-40
4,1,0.774385,50,-40
4,1,0.947844,70,-50
4,1,0.769779,80,-40
4,1,0.814314,100,-70
4,1,1.057892,60,-10
4,0,0.947742,60,-100
4,1,0.785615,100,-50
4,0,0.933706,10,-100
4,1,0.867903,80,-50
4,1,0.980285,60,-10
4,0,1.040933,30,-50
4,0,1.05078,60,-90
4,1,0.772511,90,-50
4,0,0.993054,80,-70
4,1,0.829814,70,-60
4,0,0.800326,20,-80
4,1,0.844498,80,-60
4,1,0.742641,90,-20
4,0,1.740561,10,-30
4,0,1.314992,20,-70
4,1,1.042554,90,-80
4,0,0.996444,40,-100
4,1,0.800282,60,-20
4,0,0.875574,30,-100
4,1,0.812846,50,-10
4,0,0.841006,70,-100
4,1,0.99565,100,-10
4,1,1.359607,20,-10
4,1,0.829825,50,-20
4,0,1.217668,30,-70
4,1,0.877071,80,-30
4,0,0.989913,40,-90
4,1,0.858275,30,-10
5,0,1.942446,90,-20
5,0,0.613785,80,-100
5,0,1.025909,30,-30
5,0,0.477274,60,-40
5,0,1.502723,10,-30
5,0,0.590061,60,-100
5,0,0.634669,90,-60
5,0,0.918001,10,-80
5,0,0.65329,30,-80
5,0,0.911396,10,-70
5,0,0.47952,20,-90
5,0,0.545351,80,-60
5,0,0.624698,70,-10
5,0,0.924626,10,-80
5,0,0.524053,20,-60
5,0,0.496539,100,-40
5,0,0.415477,70,-60
5,0,1.003976,30,-40
5,0,0.848128,60,-10
5,0,0.618261,100,-100
5,0,0.437508,50,-40
5,0,0.464749,40,-50
5,0,0.410632,20,-60
5,0,1.27115,20,-10
5,1,4.784241,50,-10
5,0,0.430279,60,-60
5,0,0.71433,10,-40
5,0,0.489477,20,-70
5,0,0.530044,90,-70
5,0,0.425327,40,-50
5,0,0.436397,60,-60
5,0,0.44705,10,-20
5,0,1.39724,80,-40
5,1,4.138231,100,-10
5,0,0.610325,50,-70
5,0,0.400859,30,-20
5,0,0.445371,40,-20
5,0,0.487911,60,-50
5,0,0.487745,90,-50
5,0,0.400293,30,-60
5,0,0.411186,50,-100
5,0,0.479179,80,-90
5,0,0.512492,40,-90
5,0,0.448373,30,-50
5,1,1.63339,90,-10
5,0,0.572849,20,-70
5,0,1.075786,40,-10
5,0,0.413277,30,-90
5,0,1.0805,90,-60
5,0,0.496755,40,-40
5,0,0.520558,80,-60
5,0,1.393696,60,-90
5,0,0.505291,10,-50
6,0,3.410115,60,-20
6,0,0.783459,20,-80
6,0,1.845032,100,-100
6,0,1.311983,60,-30
6,0,1.344777,30,-30
6,0,1.050667,10,-10
6,0,1.318272,70,-90
6,0,0.902501,30,-50
6,0,0.799891,30,-60
6,0,0.820989,50,-70
6,0,0.569965,70,-10
6,0,0.522079,50,-50
6,0,0.954643,100,-40
6,1,3.481872,90,-10
6,0,0.837548,50,-80
6,0,1.257569,10,-90
6,0,0.733173,40,-70
6,0,0.877693,70,-50
6,0,0.935727,40,-100
6,0,0.543005,70,-30
6,0,2.990221,20,-100
6,0,0.740583,60,-40
6,0,1.027176,60,-40
6,0,0.918489,80,-20
6,0,0.975237,70,-30
6,0,0.829341,80,-10
6,0,1.105945,10,-60
6,0,0.635,50,-60
6,0,0.518161,40,-30
6,0,1.558656,100,-50
6,0,0.757854,50,-60
6,0,0.611703,50,-10
6,0,1.904228,90,-90
6,0,0.817527,50,-90
6,0,0.558139,20,-50
6,0,0.507963,70,-10
6,0,1.108537,100,-40
6,0,0.477352,20,-20
6,0,1.286213,100,-90
6,0,0.680825,80,-90
6,0,0.850138,20,-40
6,1,3.029386,80,-10
6,0,0.618208,80,-70
6,0,1.87819,20,-70
6,0,0.735931,20,-30
6,0,1.960023,60,-50
6,0,0.775121,50,-30
6,0,0.508521,70,-80
6,0,0.685139,30,-40
6,0,1.359258,80,-30
6,0,0.75006,60,-60
6,0,0.541435,40,-70
6,0,1.22048,10,-50
6,1,2.256846,90,-10
6,0,0.771891,20,-10
6,0,1.609804,90,-30
6,0,0.910125,60,-90
6,0,1.686408,90,-80
6,0,1.167495,100,-100
6,0,1.197524,50,-100
6,0,0.506874,20,-60
6,0,0.594539,90,-70
6,0,1.36805,90,-20
6,0,0.894415,20,-20
6,0,0.455899,50,-40
6,0,0.618286,100,-60
6,0,0.6622,10,-40
6,1,1.784791,100,-10
6,0,3.303075,30,-60
6,0,0.864649,90,-60
6,0,0.899411,10,-80
6,0,0.724813,60,-60
6,0,1.236786,50,-50
6,0,0.631811,30,-10
6,0,1.059142,100,-30
6,0,0.733888,60,-50
6,0,1.06167,100,-80
6,0,0.679973,100,-60
6,0,0.449211,60,-70
6,0,0.443805,30,-20
6,0,0.598961,40,-40
6,0,0.508202,40,-50
6,0,0.700761,40,-10
6,0,0.534135,20,-30
6,0,0.78964,60,-70
6,0,0.458011,70,-90
6,0,0.484046,40,-30
6,0,0.467167,40,-80
6,0,0.501945,70,-70
6,0,0.502883,20,-60
6,0,1.232163,10,-90
6,0,1.180455,90,-30
6,0,0.914087,80,-100
6,0,1.47482,90,-100
6,0,1.568954,80,-50
6,0,0.887395,40,-60
6,0,0.552746,10,-40
6,0,0.775343,50,-100
6,0,0.436882,30,-40
6,0,1.144701,20,-90
6,0,0.840127,20,-100
6,0,0.667015,20,-50
6,0,0.538691,40,-10
6,0,0.889908,70,-100
6,0,0.411517,30,-30
6,0,0.847084,80,-80
6,0,0.418598,40,-40
6,0,0.782743,80,-100
6,0,1.052497,10,-80
6,0,1.088136,100,-30
6,0,0.560667,30,-80
6,0,0.494663,10,-20
6,0,0.407434,50,-20
6,0,0.411392,70,-40
6,0,0.527779,80,-40
6,0,0.56693,10,-20
6,0,1.084968,70,-20
6,0,0.455009,50,-80
6,0,0.49713,30,-20
6,0,0.601722,40,-80
6,0,0.446362,60,-80
6,0,0.425436,60,-30
6,0,0.508689,80,-20
6,0,1.292809,100,-90
6,0,0.845658,100,-70
6,0,0.648793,30,-90
6,0,0.675622,50,-90
6,0,1.148989,90,-100
6,0,1.036208,30,-100
6,0,0.935637,90,-70
6,0,0.487739,40,-20
6,0,0.489044,20,-90
6,0,1.705759,10,-100
6,0,0.658448,70,-20
6,0,0.473718,20,-40
6,0,0.643015,40,-90
6,0,0.485662,30,-90
6,0,0.519788,70,-60
6,0,0.432263,70,-80
6,0,0.532054,10,-50
6,0,0.516719,10,-30
6,0,0.69341,60,-100
6,0,1.078741,90,-90
6,0,0.528733,10,-70
6,0,0.536243,10,-60
6,0,0.935539,80,-90
6,0,0.407388,40,-50
6,0,0.46021,80,-60
