,subj_idx,response,rt,gain,loss
37,3,0,0.826,28,-13
38,3,0,0.723,34,-13
39,3,0,0.809,38,-14
40,3,0,0.723,32,-11
41,3,1,0.977,32,-9
42,3,0,1.155,30,-16
43,3,0,1.274,34,-10
44,3,1,1.235,18,-8
45,3,0,1.745,34,-20
46,3,0,1.179,32,-16
47,3,0,0.8109999999999999,24,-12
48,3,0,2.708,38,-12
49,3,0,0.767,38,-10
50,3,1,1.02,24,-7
51,3,0,0.779,16,-13
52,3,0,0.693,36,-19
53,3,1,1.221,32,-5
54,3,1,1.173,34,-9
55,3,1,1.171,28,-7
56,3,0,0.772,24,-13
57,3,1,1.126,38,-5
58,3,0,1.99,22,-9
59,3,0,0.598,10,-11
60,3,0,0.541,12,-14
61,3,0,0.5329999999999999,34,-19
62,3,1,1.206,38,-7
63,3,1,1.148,30,-6
64,3,0,1.029,26,-18
65,3,0,1.06,14,-6
66,3,0,0.742,16,-12
67,3,0,1.342,22,-20
68,3,0,0.8290000000000001,12,-17
69,3,0,1.088,10,-7
70,3,0,0.833,18,-20
71,3,0,1.224,12,-6
72,3,1,1.446,32,-6
73,3,0,1.287,18,-7
74,3,1,0.888,40,-10
75,3,0,1.015,14,-14
76,3,0,1.318,30,-19
77,3,0,1.345,24,-18
78,3,0,0.633,10,-12
79,3,0,1.537,40,-19
80,3,0,1.439,24,-9
81,3,0,0.961,16,-18
82,3,0,0.912,36,-12
83,3,0,1.672,26,-9
84,3,0,0.968,20,-12
85,3,0,0.7,24,-14
1,3,0,2.398,22,-17
2,3,0,1.351,10,-16
3,3,0,1.137,38,-18
4,3,0,1.391,20,-14
5,3,0,1.596,14,-13
6,3,1,0.991,40,-8
7,3,0,1.4069999999999998,32,-18
8,3,1,1.464,24,-8
9,3,1,1.403,36,-14
10,3,1,1.062,28,-6
11,3,0,0.7290000000000001,16,-14
12,3,0,1.712,14,-9
13,3,0,1.136,20,-13
14,3,0,0.952,30,-18
15,3,0,1.56,14,-15
16,3,0,0.8240000000000001,12,-12
17,3,0,1.098,24,-11
18,3,0,1.537,12,-10
20,3,0,1.218,38,-20
21,3,0,1.1840000000000002,28,-10
22,3,1,1.057,20,-7
23,3,1,1.329,38,-9
24,3,0,0.946,26,-12
25,3,0,1.091,10,-14
26,3,0,1.073,12,-13
27,3,0,1.075,24,-15
28,3,0,0.89,32,-15
29,3,0,0.8340000000000001,36,-15
30,3,0,1.195,36,-18
31,3,0,1.081,12,-18
32,3,1,1.057,20,-9
33,3,1,1.87,16,-8
34,3,0,1.123,12,-20
35,3,0,1.564,22,-19
36,3,0,1.101,36,-9
37,3,1,1.27,26,-6
38,3,1,1.293,30,-5
39,3,1,1.05,36,-7
40,3,0,1.444,18,-10
41,3,1,0.909,30,-9
42,3,0,1.781,30,-12
43,3,1,1.996,14,-8
44,3,0,1.157,20,-19
45,3,0,1.253,28,-14
46,3,0,0.878,16,-17
47,3,1,1.382,26,-8
48,3,0,1.036,10,-17
49,3,1,1.167,12,-5
50,3,1,1.351,40,-6
51,3,0,1.5490000000000002,36,-13
52,3,0,1.279,10,-9
