,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.17,t_subj,True,False,True,t_subj.17,(),['subj_idx'],False,17,,,,,0.3796281352581157,0.007334450451271311,0.3630507575118611,0.3752942122679603,0.38051379954813763,0.3849007709053035,0.39140680053254995,0.00026695212149536584
t_subj.18,t_subj,True,False,True,t_subj.18,(),['subj_idx'],False,18,,,,,0.5129281017989813,0.02494450106963629,0.46029462555064327,0.4968407214516957,0.5143237049015955,0.5309958087892692,0.5571747183098935,0.0006512455605983844
t_subj.19,t_subj,True,False,True,t_subj.19,(),['subj_idx'],False,19,,,,,0.19590941421162142,0.02786306806364754,0.13906842905509398,0.17767192786765146,0.19617906354430817,0.2153830855162355,0.24930129436366172,0.0006164501696460018
t_subj.20,t_subj,True,False,True,t_subj.20,(),['subj_idx'],False,20,,,,,0.38694976954684296,0.04546851162595288,0.28054587483845916,0.3603015508637763,0.3930796180678249,0.4211406167214774,0.456009025180417,0.0016411691358740846
t_subj.21,t_subj,True,False,True,t_subj.21,(),['subj_idx'],False,21,,,,,0.37208892223788625,0.010387020761564817,0.34830486889048395,0.3661610246234385,0.3734074249303278,0.37897435814614466,0.3898393988827901,0.00030649771757128004
t_subj.22,t_subj,True,False,True,t_subj.22,(),['subj_idx'],False,22,,,,,0.37249009494648777,0.007604392783226405,0.3552509839672022,0.3677653795565584,0.3732322465475763,0.37783184658239216,0.38526020920889664,0.00026980502378477837
t_subj.23,t_subj,True,False,True,t_subj.23,(),['subj_idx'],False,23,,,,,0.36894523325414463,0.008850907509499871,0.34958474578778415,0.36360833905324463,0.3696564142415328,0.3753012738751758,0.3839935705088133,0.0002046425770715224
t_subj.24,t_subj,True,False,True,t_subj.24,(),['subj_idx'],False,24,,,,,0.37290782054188876,0.022274837046376873,0.3168580309711193,0.36220987254828163,0.3782399374553638,0.38890533643529906,0.4017201593795178,0.0009295813782446476
t_subj.25,t_subj,True,False,True,t_subj.25,(),['subj_idx'],False,25,,,,,0.3927072914880119,0.010901360214857396,0.3686181784398966,0.38592408212614693,0.3937235167854276,0.40071199444450606,0.41093879052612153,0.00029478544314021
t_subj.26,t_subj,True,False,True,t_subj.26,(),['subj_idx'],False,26,,,,,0.39455426925135606,0.022986497798532325,0.34594141009021395,0.37969351379266425,0.3968908652519846,0.41091695242433707,0.4343620734046429,0.0005802857196819595
t_subj.27,t_subj,True,False,True,t_subj.27,(),['subj_idx'],False,27,,,,,0.5051758066944108,0.0383953197224588,0.4261126793349522,0.48018581085773,0.5067637851528954,0.5321938072165213,0.5757783052811006,0.0009307351010513363
