,subj_idx,response,rt,gain,loss
583,3,1,1.766,9,-4
584,3,1,1.77,9,-5
585,3,1,3.666,9,-6
586,3,0,1.823,9,-7
587,3,0,2.526,9,-8
588,3,0,3.527,9,-9
589,3,0,1.443,9,-10
590,3,1,1.821,10,-1
591,3,1,1.104,10,-2
592,3,1,1.217,10,-3
593,3,1,0.972,10,-4
594,3,1,1.191,10,-5
595,3,1,1.694,10,-6
596,3,1,1.576,10,-7
597,3,1,1.721,10,-8
598,3,1,1.114,10,-9
599,3,0,1.277,10,-10
600,4,1,0.951,1,-1
601,4,0,1.287,1,-2
602,4,0,1.116,1,-3
603,4,0,1.019,1,-4
604,4,0,1.194,1,-5
605,4,0,1.068,1,-6
606,4,0,0.986,1,-7
607,4,0,1.242,1,-8
608,4,0,0.959,1,-9
609,4,0,1.005,1,-10
610,4,1,1.161,2,-1
611,4,1,1.561,2,-2
612,4,0,1.133,2,-3
613,4,0,1.103,2,-4
614,4,0,1.517,2,-5
615,4,0,1.119,2,-6
616,4,0,1.163,2,-7
617,4,0,0.946,2,-8
618,4,0,1.02,2,-9
619,4,0,1.131,2,-10
620,4,1,1.231,3,-1
621,4,1,1.359,3,-2
622,4,1,2.312,3,-3
623,4,0,1.202,3,-4
624,4,0,1.246,3,-5
625,4,0,1.055,3,-6
626,4,0,1.156,3,-7
627,4,0,1.039,3,-8
628,4,0,1.065,3,-9
629,4,0,1.249,3,-10
630,4,1,1.23,4,-1
631,4,1,1.151,4,-2
632,4,1,1.109,4,-3
633,4,1,1.381,4,-4
634,4,0,0.998,4,-5
635,4,0,1.005,4,-6
636,4,0,1.429,4,-7
637,4,0,1.175,4,-8
638,4,0,1.092,4,-9
639,4,0,1.231,4,-10
640,4,1,1.221,5,-1
641,4,1,1.203,5,-2
642,4,1,4.691,5,-3
643,4,1,2.469,5,-4
644,4,1,1.161,5,-5
645,4,0,2.355,5,-6
646,4,0,1.314,5,-7
647,4,0,1.24,5,-8
648,4,0,1.084,5,-9
649,4,0,1.175,5,-10
650,4,1,0.966,6,-1
651,4,1,1.134,6,-2
652,4,1,1.267,6,-3
653,4,1,0.884,6,-4
654,4,1,1.595,6,-5
655,4,1,1.943,6,-6
656,4,1,4.824,6,-7
657,4,0,1.277,6,-8
658,4,0,1.331,6,-9
659,4,0,1.003,6,-10
660,4,1,1.301,7,-1
661,4,1,1.029,7,-2
662,4,1,0.948,7,-3
663,4,1,1.269,7,-4
