,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a_subj.64,a_subj,True,False,True,a_subj.64,(),['subj_idx'],False,64,,,,,2.445108505547533,0.09483178387780611,2.2677997475991107,2.379499074180229,2.4425194192852437,2.5062592770351033,2.6391886475064608,0.003215364777971285,2.0834230405148535
a_subj.66,a_subj,True,False,True,a_subj.66,(),['subj_idx'],False,66,,,,,2.8440453702086907,0.11854186337027797,2.6159271996659954,2.763626885929713,2.8394755277288413,2.9238241370258313,3.0836156385382947,0.0037747870624572966,2.3330074910563203
a_subj.68,a_subj,True,False,True,a_subj.68,(),['subj_idx'],False,68,,,,,2.6410482380031266,0.09928168922971742,2.4527145577609852,2.572402222683614,2.6376260276635244,2.7081484288437885,2.8414039652173626,0.003274184786228051,2.248808278476771
a_subj.70,a_subj,True,False,True,a_subj.70,(),['subj_idx'],False,70,,,,,2.633482037739814,0.10248676262298359,2.4358587099882487,2.564334473683507,2.6321999272134695,2.699577363804322,2.840619465725183,0.0031834237513739512,2.239901774682104
a_subj.72,a_subj,True,False,True,a_subj.72,(),['subj_idx'],False,72,,,,,2.651149030515249,0.10537032030747344,2.4552920438704198,2.5790749501144203,2.6477530714379394,2.7209725494574637,2.862922545863372,0.0029661565922527314,2.2045676673586403
a_subj.74,a_subj,True,False,True,a_subj.74,(),['subj_idx'],False,74,,,,,2.3454254033706428,0.08948282427449683,2.1781899690011697,2.2830155643433354,2.3423344623736346,2.404198839856541,2.5308879795866703,0.00282452485613316,2.07622752949644
a_subj.76,a_subj,True,False,True,a_subj.76,(),['subj_idx'],False,76,,,,,1.9149201523882775,0.09757899202330096,1.7331274208532974,1.8492349030821171,1.911161975679383,1.9769485462126104,2.1255430580611456,0.0029055739806450004,1.6313198994192621
a_subj.80,a_subj,True,False,True,a_subj.80,(),['subj_idx'],False,80,,,,,2.183088875427323,0.07945961469961998,2.030482087132423,2.1272324566010146,2.1829954898310526,2.2354378544850757,2.345775707171811,0.002117201707401506,1.9036259096184012
a_subj.82,a_subj,True,False,True,a_subj.82,(),['subj_idx'],False,82,,,,,2.516893983129059,0.10335596141545172,2.317047588828441,2.4454179526632984,2.5129536225255613,2.5846676121934604,2.726870379378661,0.0034537083742605806,2.1297370818306045
a_subj.84,a_subj,True,False,True,a_subj.84,(),['subj_idx'],False,84,,,,,2.4563167312962815,0.09363760710959848,2.2829328946903638,2.3904042680327984,2.453027433649397,2.5196412006979245,2.6419174226204687,0.003222216767756058,2.134915584144719
